gene,f_statistic,p_value,mean_ALL,mean_CLL,mean_AML,mean_CML
BE966236,959.503453133017,1.5375890337247732e-289,0.5295932726302278,0.19049102694330589,0.5491297025856805,0.6421021029006603
AF322641,959.0022811360705,1.8580325151222896e-289,0.2013752505678786,0.4698932345657912,0.14729817539221582,0.10932706313770875
NM_005013,958.8236694782656,1.987745640882394e-289,0.5907733868978439,0.34542155759369775,0.6926788234293229,0.6931335593378821
NM_001168,958.1311205318887,2.582476258334071e-289,0.4140393141691291,0.08966501383896808,0.4101847810417066,0.4658732525137968
BG231773,934.4257074154992,2.1905559562163355e-285,0.17262060347268435,0.49572832539740497,0.10201044559500504,0.0556569222014311
AW274756,910.5299888118483,2.3782373230132897e-281,0.6658575061127681,0.25200155534180285,0.6364155728297475,0.5152307908202327
AB037805,866.9606300664719,8.708002984819531e-274,0.20111098644802128,0.5276260443566217,0.11863503070613407,0.10983155401380257
NM_030796,863.6296775669974,3.3846679142538936e-273,0.3974720401979914,0.6491128638826845,0.40247996957385584,0.4445686742316845
AL031588,854.402291533412,1.4842084689618626e-271,0.21887279454823758,0.4830293681173888,0.16510980016396093,0.1329936185028664
NM_001783,831.231808748494,2.248904360723169e-267,0.4756795967151539,0.5974499256299015,0.230339779841065,0.18981793089661492
AI225238,828.6696923194609,6.597432795304966e-267,0.20123172999539096,0.5293490784832194,0.167040410841152,0.16842708876356485
NM_001715,823.7338627478377,5.28140623611828e-266,0.3868439244213215,0.588270794081537,0.09929461106440554,0.06599413882941009
AA296657,822.4276223259274,9.17219090072577e-266,0.4653061374064979,0.10379720610892602,0.29359566168098605,0.3416115478720775
AI351043,819.6363577882097,2.9898392815781045e-265,0.48351508959991124,0.11447361381213626,0.3180816164493909,0.3761866737243742
AF288571,801.8020861301502,6.086375039540858e-262,0.6526841301163402,0.592495782843119,0.3006765645410474,0.26689380216737124
NM_004701,800.0543725847853,1.2924695955349138e-261,0.45770518078443106,0.17460871836807154,0.4795813759071354,0.5266946103683737
NM_006235,795.0309572097693,1.1332520756719795e-260,0.5372953676370853,0.6445690549375639,0.22201813769831183,0.18838187133850048
AA826288,787.6836026713596,2.761177811853263e-259,0.27212074875763254,0.487611129565581,0.18144277032421258,0.15715691222007885
NM_020300,750.2300414284239,4.527219145971393e-252,0.2586546542567261,0.3012644980438761,0.6132771087527739,0.6129443520723388
AK026898,736.1911161110874,2.6619599197593406e-249,0.6110849181583168,0.7567820435837854,0.5887796293784672,0.5588655416355577
AK023208,730.9101051365067,2.9954262863349857e-248,0.3139588485104502,0.096139371182911,0.34768011215132033,0.4575575416864351
NM_001774,727.3339332356968,1.553595803004995e-247,0.3592756393305752,0.6158782068938645,0.41264824222787816,0.46554584835850915
AK026133,722.0724798340044,1.7682378514387395e-246,0.26260229417121833,0.5020027888726585,0.24397999876639026,0.2864797822264738
AW575863,721.3514483739924,2.469999849813279e-246,0.46598720154084194,0.7286616386492041,0.2913755933275801,0.25426189540777094
AW080845,695.7328798251007,4.132680921047563e-241,0.6283781007615798,0.7657194509787901,0.6092899984422825,0.5766443513160529
M74721,692.4588481419833,1.964428567131377e-240,0.45506422734315244,0.5630403228952915,0.3279021643826934,0.3009919208842655
AW149417,685.2027129817332,6.330925488818616e-239,0.45223326064270297,0.09610468236815954,0.11892964848288215,0.1110896380011772
D16947,673.9861117750147,1.4268619256531294e-236,0.1810722011792978,0.22094836506898266,0.5741930088673353,0.5823451453863189
AI220117,673.6758972040118,1.6589418962012374e-236,0.2588963124926689,0.3104698468325856,0.6355216848131283,0.6354980323203775
AW027333,666.0729943222738,6.765356961597513e-235,0.1885420392836666,0.0992160095344003,0.5423505116264963,0.5373563087263773
AA992805,661.2530110579609,7.205884816765876e-234,0.3671244943531555,0.20181769430283694,0.11585291219396873,0.12279335955201189
NM_016359,659.5663419148412,1.6534638340407606e-233,0.5709190599005157,0.34821612850020206,0.5722427186103183,0.6148959190346474
NM_000297,656.3270798401844,8.182287093582837e-233,0.42886265565495973,0.20364075704214443,0.35397832031843735,0.32825511555339015
AF294627,651.6220739702495,8.427549585700208e-232,0.4056303727466169,0.34938162830874386,0.12363051657441733,0.0884125308664299
NM_030952,644.5205446519915,2.908756390130827e-230,0.3041039523796751,0.5312045224105256,0.30345897772258823,0.35760467308898314
NM_001928,637.5000111029327,9.892361298343655e-229,0.211960444820686,0.4183453781695306,0.6693634426489414,0.564149121905482
NM_001250,631.2198121600181,2.370776718486683e-227,0.07917907237744924,0.2950049620593273,0.07978212476820336,0.05641634120107738
NM_014766,614.4121084255274,1.2948029028991776e-223,0.14087623303944094,0.4302237646237707,0.23229699226002054,0.30197773353998053
AF161441,605.0122730237821,1.7046157269064594e-221,0.44491858755605757,0.09642352661479439,0.494476757907392,0.48519360707249753
BE614410,592.8460467961888,1.0159537244604793e-218,0.3506309151512767,0.12770973639130465,0.3512236024561095,0.408088136550992
AI808597,591.9671675287768,1.6172610287277449e-218,0.16721917953210833,0.4191863849318983,0.0938781524445782,0.06964421052442388
BF510692,591.8569418830666,1.7144155265567255e-218,0.6294865229619889,0.7480350425977748,0.27604126350425096,0.22392286364595557
NM_012250,589.4022670455116,6.296920605729285e-218,0.22100143576438175,0.4488195648361862,0.1260728147963483,0.10355912312475402
NM_021953,587.5968588563665,1.643098517101984e-217,0.3220396478139206,0.08835156237950179,0.326690825564852,0.39536155067210993
BC005810,586.0805009449538,3.682550365483069e-217,0.505792862677481,0.14656987893768442,0.6078485854346929,0.5949440799480262
BC040053,581.3777623294956,4.5378282355675263e-216,0.10835018236918477,0.0972876489075993,0.33946327452007896,0.40156912734342176
AI433463,574.7848129813322,1.5686289790648154e-214,0.513795583656297,0.10664445365276111,0.0861698704556986,0.24948428742327663
NM_022346,574.736901017987,1.6096937859770042e-214,0.4139393947745135,0.20885468892092945,0.40976111173397833,0.45193383305571794
AW450901,561.1026423898998,2.66093560535021e-211,0.37217495205102985,0.4738820935854932,0.18244548518833953,0.16751046565382977
NM_000250,560.0230914288248,4.808074500262276e-211,0.4653213336175188,0.18106632127194716,0.7029342425965381,0.7642857210580692
BF664114,556.8321076899705,2.7750771543535904e-210,0.1904433854436929,0.39267851108928775,0.168514248108716,0.15085070542341397
NM_025113,550.3484197271993,9.969761266229605e-209,0.42783936446344634,0.6558459106879898,0.24099932851610484,0.3162323829046516
NM_014875,546.9471275074964,6.595688677337675e-208,0.3582831624929511,0.14874933949251215,0.3623580102181852,0.4288927219634832
NM_002167,540.9292143667111,1.9010312931418592e-206,0.48702284412612334,0.6480335381966603,0.19145509696670665,0.163737244990676
NM_000022,539.4013589242572,4.479287322240676e-206,0.5986447393073948,0.34049850771447276,0.5202309792491713,0.35866037219069724
BF001806,538.2285787142239,8.657081936546664e-206,0.36505429685936064,0.11634016739212387,0.34199467399936706,0.4018901641978774
NM_030941,537.1472509675473,1.590613118697412e-205,0.24286725063628833,0.08767589083224346,0.35186684636058513,0.35270249601020376
J02694,532.9482135854635,1.700750727797199e-204,0.36813148748505553,0.1744466963015843,0.6290425867465568,0.7147819857264675
AI129310,526.1943122185235,7.879072811091936e-203,0.44245338433106013,0.6750596538814815,0.21996572840748652,0.30659618583876036
NM_007128,525.590647254511,1.1117612248732668e-202,0.49454666605783165,0.11286982901213603,0.15686183476798846,0.12011003802898661
AA515490,521.09208796209,1.4578970415752869e-201,0.23562035712182794,0.4161495595918929,0.2184294803423177,0.19732884525559666
